country_code,country,year,population,birth_rate,gdp_by_ppp,aic_by_ppp,health_by_ppp,housing_by_ppp,educ_by_ppp
BE,Belgium,2003,10355844.0,10.983,1.0672,1.09731,1.02717,1.20304,1.45217
BE,Belgium,2004,10396421.0,11.237,1.08735,1.11051,1.12516,1.19673,1.41503
BE,Belgium,2005,10445852.0,11.421,1.08906,1.10686,1.1258,1.17653,1.38694
BE,Belgium,2006,10511382.0,11.618,1.09997,1.11493,1.11884,1.17331,1.43993
BE,Belgium,2007,10584534.0,11.677,1.11331,1.13564,1.27592,1.14878,1.41399
BE,Belgium,2008,10666866.0,11.855,1.11736,1.13985,1.25461,1.16778,1.43934
BE,Belgium,2009,10753080.0,11.758,1.12595,1.15157,1.26416,1.15748,1.45051
BE,Belgium,2010,10839905.0,11.85,1.10549,1.14156,1.23102,1.1584,1.46941
BE,Belgium,2011,11000638.0,11.575,1.11654,1.14628,1.25962,1.17971,1.51663
BE,Belgium,2012,11075889.0,11.438,1.11346,1.15233,1.28455,1.17081,1.52565
BE,Belgium,2013,11137974.0,11.185,1.11715,1.14272,1.1823,1.16557,1.5013
BE,Belgium,2014,11180840.0,11.071,1.11667,1.13477,1.16882,1.168,1.48368
BE,Belgium,2015,11237274.0,10.811,1.11286,1.13113,1.13504,1.17121,1.49991
BE,Belgium,2016,11311117.0,10.72,1.12445,1.15445,1.19496,1.20689,1.50811
BE,Belgium,2017,11351727.0,10.505,1.12932,1.16659,1.22109,1.22311,1.5258
BE,Belgium,2018,11398589.0,10.336,1.13026,1.17184,1.24247,1.23255,1.52057
BE,Belgium,2019,11455519.0,10.114,1.13159,1.17158,1.2308,1.22985,1.50638
BE,Belgium,2020,11522440.0,9.961,1.12113,1.16188,1.22231,1.20364,1.51975
BE,Belgium,2021,11554767.0,10.051,1.11934,1.15864,1.20193,1.2182,1.52114
DE_TOT,Germany with ex-GDR,2003,82536680.0,9.542,1.09135,1.08667,1.03498,1.2663,1.14303
DE_TOT,Germany with ex-GDR,2004,82531671.0,9.67,1.07112,1.07188,1.03717,1.25369,1.13371
DE_TOT,Germany with ex-GDR,2005,82500849.0,10.085,1.06578,1.06484,1.03422,1.22856,1.09944
DE_TOT,Germany with ex-GDR,2006,82437995.0,9.856,1.06639,1.0615,1.04919,1.21788,1.06192
DE_TOT,Germany with ex-GDR,2007,82314906.0,9.946,1.06053,1.05143,1.0137,1.18812,1.0555
DE_TOT,Germany with ex-GDR,2008,82217837.0,10.332,1.05738,1.04792,1.00921,1.17374,1.03846
DE_TOT,Germany with ex-GDR,2009,82002356.0,10.492,1.07429,1.05968,1.02532,1.1806,1.06653
DE_TOT,Germany with ex-GDR,2010,81802257.0,10.201,1.06382,1.05143,1.01016,1.16483,1.08875
DE_TOT,Germany with ex-GDR,2011,80222065.0,9.743,1.0586,1.04259,1.00651,1.16709,1.12003
DE_TOT,Germany with ex-GDR,2012,80327900.0,9.805,1.06621,1.04513,1.01846,1.16188,1.14207
DE_TOT,Germany with ex-GDR,2013,80523746.0,9.423,1.07367,1.0556,1.01018,1.17177,1.16609
DE_TOT,Germany with ex-GDR,2014,80767463.0,9.289,1.07302,1.05721,1.02903,1.17641,1.1783
DE_TOT,Germany with ex-GDR,2015,81197537.0,8.875,1.08243,1.06832,1.04308,1.17868,1.20236
DE_TOT,Germany with ex-GDR,2016,82175684.0,8.905,1.08356,1.06557,1.04034,1.17469,1.18781
DE_TOT,Germany with ex-GDR,2017,82521653.0,8.818,1.0844,1.06482,1.05479,1.17531,1.20988
DE_TOT,Germany with ex-GDR,2018,82792351.0,8.98,1.08461,1.06243,1.07444,1.15878,1.22872
DE_TOT,Germany with ex-GDR,2019,83019213.0,8.874,1.10378,1.07675,1.10217,1.15511,1.23008
DE_TOT,Germany with ex-GDR,2020,83166711.0,8.716,1.10653,1.0798,1.12573,1.15711,1.25703
DE_TOT,Germany with ex-GDR,2021,83155031.0,8.544,1.1132,1.0906,1.14017,1.16024,1.27075
DK,Denmark,2003,5383507.0,11.988,10.534,11.1765,11.9043,11.9374,15.6713
DK,Denmark,2004,5397640.0,11.964,10.3552,11.0858,11.7512,11.3062,15.7388
DK,Denmark,2005,5411405.0,11.89,10.4651,11.1089,12.0284,11.2702,15.021
DK,Denmark,2006,5427459.0,11.966,10.4265,10.9176,11.5731,11.1492,14.8157
DK,Denmark,2007,5447084.0,11.785,10.3386,10.5937,11.0871,11.018,13.1589
DK,Denmark,2008,5475791.0,11.797,10.2388,10.5869,10.949,11.0759,13.2219
DK,Denmark,2009,5511451.0,11.373,10.2397,10.6933,10.5231,11.3414,13.6814
DK,Denmark,2010,5534738.0,11.332,10.0309,10.6348,10.6359,11.3823,13.348
DK,Denmark,2011,5560628.0,10.585,10.0211,10.6273,10.35,11.6771,12.5587
DK,Denmark,2012,5580516.0,10.314,10.2445,10.7679,11.0796,11.6632,12.4768
DK,Denmark,2013,5602628.0,9.901,10.1921,10.6932,10.6479,11.6409,12.165
DK,Denmark,2014,5627235.0,10.046,10.2269,10.7604,10.4112,11.8762,12.5329
DK,Denmark,2015,5659715.0,10.212,10.1623,10.7073,10.3401,11.7074,12.7111
DK,Denmark,2016,5707251.0,10.638,10.1931,10.8745,10.3323,12.3401,12.4684
DK,Denmark,2017,5748769.0,10.534,10.0051,10.6702,10.2344,12.3077,12.2475
DK,Denmark,2018,5781190.0,10.509,9.97821,10.6122,10.4319,12.1289,12.1668
DK,Denmark,2019,5806081.0,10.452,10.055,10.7203,10.3312,12.8371,12.061
DK,Denmark,2020,5822763.0,10.56,9.96426,10.6709,10.7618,13.2389,11.5299
DK,Denmark,2021,5840045.0,10.807,9.88286,10.6139,10.7853,13.171,11.4956
HR,Croatia,2003,4305384.0,8.541,0.644098,0.650833,0.545367,0.492235,0.457227
HR,Croatia,2004,4305725.0,8.507,0.651149,0.664419,0.554373,0.499503,0.480065
HR,Croatia,2005,4310861.0,8.295,0.663485,0.682846,0.563072,0.504414,0.480619
