DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,1997,635,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,1998,721,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,1999,890,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2000,1074,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2001,1189,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2002,1280,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2003,1377,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2004,1561,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2005,1755,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2006,1949,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2007,2275,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2008,2626,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2009,2547,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2010,2577,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2011,2666,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR_HAB,A01,AL,2012,2752,
