DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,1995,3.2,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,1996,3.3,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,1997,3.4,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,1998,3.4,e
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,1999,3.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2000,2.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2001,2.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2002,2.9,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2003,3.2,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2004,5.7,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2005,5.6,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2006,5.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2007,5.4,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2008,4.8,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2009,5.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2010,5.1,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2011,5.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2012,5.1,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2013,5.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2014,5.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,AT,2015,5.4,
