nat_accounts_indicator,ppp_category,country,year,ppp_value
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,1995,1.12489
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,1996,1.11321
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,1997,1.12668
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,1998,1.14788
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,1999,1.14202
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2000,1.10183
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2001,1.1062
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2002,1.09264
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2003,1.09731
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2004,1.11051
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2005,1.10686
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2006,1.11493
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2007,1.13564
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2008,1.13985
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2009,1.15157
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2010,1.14156
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2011,1.14628
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2012,1.15233
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2013,1.14272
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2014,1.13477
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2015,1.13113
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2016,1.15445
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2017,1.16659
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2018,1.17184
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2019,1.17158
